Event ID,Message
326,"svchost (3164,D,50) DS_Token_DB: The database engine attached a database (1, C:\Windows\system32\config\systemprofile\AppData\Local\DataSharing\Storage\DSTokenDB2.dat). (Time=0 seconds)  Saved Cache: 1 0 Additional Data: lgposAttach = 0000000A:0006:0268  Internal Timing Sequence: [1] 0.000004 +J(0)[2] 0.001928 -0.001329 (1) WT +J(0) +M(C:0K, Fs:17, WS:4K # 4K, PF:4K # 0K, P:4K)[3] 0.028898 -0.004570 (6) WT +J(CM:0, PgRf:0, Rd:0/0, Dy:0/0, Lg:3480/2) +M(C:0K, Fs:11, WS:40K # 0K, PF:40K # 0K, P:40K)[4] 0.000722 +J(0)[5] -[6] -[7] -[8] 0.000374 -0.000207 (2) CM -0.000139 (2) WT +J(CM:2, PgRf:2, Rd:4/2, Dy:0/0, Lg:0/0) +M(C:8K, Fs:3, WS:12K # 0K, PF:8K # 0K, P:8K)[9] 0.000803 -0.000512 (3) CM -0.000427 (3) WT +J(CM:3, PgRf:23, Rd:0/3, Dy:0/0, Lg:0/0) +M(C:0K, Fs:24, WS:88K # 76K, PF:196K # 188K, P:196K)[10] 0.000356 -0.000223 (3) CM -0.000147 (3) WT +J(CM:3, PgRf:40, Rd:0/3, Dy:0/0, Lg:0/0) +M(C:0K, Fs:1, WS:4K # 4K, PF:64K # 56K, P:64K)[11] 0.000013 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:1, WS:4K # 4K, PF:0K # 0K, P:0K)[12] 0.000064 +J(CM:0, PgRf:42, Rd:0/0, Dy:0/0, Lg:0/0) +M(C:0K, Fs:5, WS:20K # 20K, PF:0K # 0K, P:0K)[13] 0.0 +J(0)[14] 0.0 +J(0)[15] 0.000006 +J(CM:0, PgRf:1, Rd:0/0, Dy:0/0, Lg:0/0)."
379,"Mellanox ConnectX-4 Lx Virtual Ethernet Adapter #4: Zero Touch RoCE: Some of the required capabilities are not supported by FW.
 Requested: SlowRestart = 1, TxWindow = 1, AdpRetrans = 1
 Supported: SlowRestart = 0, TxWindow = 0, AdpRetrans = 0"
781,The COM+ sub system is suppressing duplicate event log entries for a duration of 86400 seconds.  The suppression timeout can be controlled by a REG_DWORD value named SuppressDuplicateDuration under the following registry key: HKLM\Software\Microsoft\COM3\Eventlog.
900,"The Software Protection service is starting.
Parameters:<explicit>"
902,"The Software Protection service has started.
10.0.17763.7009"
903,The Software Protection service has stopped.
1000,Performance counters for the WmiApRpl (WmiApRpl) service were loaded successfully. The Record Data in the data section contains the new index values assigned to this service.
1001,Performance counters for the WmiApRpl (WmiApRpl) service were removed successfully. The Record Data contains the new values of the system Last Counter and Last Help registry entries.
1003,The Windows Search Service started.
1014,Name resolution for the name 1f6fa344-ce4d-490d-9354-fd970ff42674.ods.opinsights.azure.com timed out after none of the configured DNS servers responded.
1029,Product: Microsoft Azure Site Recovery Mobility Service/Master Target Server. Restart required. The installation or update for the product required a restart for all changes to take effect.  The restart was deferred to a later time.
1033,"These policies are being excluded since they are only defined with override-only attribute.
Policy Names=(Security-SPP-Reserved-EnableNotificationMode) 
App Id=55c92734-d682-4d71-983e-d6ec3f16059f
Sku Id=34e1ae55-27f8-4950-8877-7a03be5fb181"
1034,Duplicate definition of policy found. Policy name=AAD-WindowsCore-AddAccountRestrictions  Priority=100
1035,Windows Installer reconfigured the product. Product Name: Microsoft Azure Site Recovery Mobility Service/Master Target Server. Product Version: 9.64.7314.1. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.
1038,Windows Installer requires a system restart. Product Name: Microsoft Azure Site Recovery Mobility Service/Master Target Server. Product Version: 9.64.7314.1. Product Language: 1033. Manufacturer: Microsoft Corporation. Type of System Restart: 2. Reason for Restart: 1.
1040,Beginning a Windows Installer transaction: C:\Packages\Plugins\Microsoft.Azure.RecoveryServices.SiteRecovery.Windows\1.0.0.9245\MobilityServiceInstaller\UNIFIEDAGENTMSI.MSI. Client Process Id: 10652.
1042,Ending a Windows Installer transaction: C:\Packages\Plugins\Microsoft.Azure.RecoveryServices.SiteRecovery.Windows\1.0.0.9245\MobilityServiceInstaller\UNIFIEDAGENTMSI.MSI. Client Process Id: 10652.
1066,"Initialization status for service objects.C:\Windows\system32\sppwinob.dll, msft:spp/windowsfunctionality/agent/7.0, 0x00000000, 0x00000000C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/inherited/1.0, 0x00000000, 0x00000000C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/phone/1.0, 0x00000000, 0x00000000C:\Windows\system32\sppobjs.dll, msft:rm/algorithm/pkey/detect, 0x00000000, 0x00000000C:\Windows\system32\sppobjs.dll, msft:spp/ActionScheduler/1.0, 0x00000000, 0x00000000C:\Windows\system32\sppobjs.dll, msft:spp/TaskScheduler/1.0, 0x00000000, 0x00000000C:\Windows\system32\sppobjs.dll, msft:spp/statecollector/pkey, 0x00000000, 0x00000000C:\Windows\system32\sppobjs.dll, msft:spp/volume/services/kms/1.0, 0x00000000, 0x00000000C:\Windows\system32\sppobjs.dll, msft:spp/volume/services/kms/activationinfo/1.0, 0x00000000, 0x00000000"
1074,The process C:\Windows\system32\svchost.exe (USEAZSMARTFTP01) has initiated the restart of computer USEAZSMARTFTP01 on behalf of user NT AUTHORITY\SYSTEM for the following reason: Operating System: Service pack (Planned) Reason Code: 0x80020010 Shutdown Type: restart Comment: 
1100,The event logging service has shut down.
1309,Event code: 3005 Event message: An unhandled exception has occurred. Event time: 2/22/2025 8:12:56 PM Event time (UTC): 2/22/2025 8:12:56 PM Event ID: 600da4ddc2b44977b61fabfe9f3c3773 Event sequence: 1832 Event occurrence: 1 Event detail code: 0  Application information:     Application domain: /LM/W3SVC/1/ROOT-1-133847279938018226     Trust level: Full     Application Virtual Path: /     Application Path: C:\inetpub\wwwroot\     Machine name: USEAZSPDFTP04  Process information:     Process ID: 12676     Process name: w3wp.exe     Account name: IIS APPPOOL\DefaultAppPool  Exception information:     Exception type: HttpException     Exception message: A potentially dangerous Request.Path value was detected from the client (:).   at System.Web.HttpRequest.ValidateInputIfRequiredByConfig()   at System.Web.HttpApplication.PipelineStepManager.ValidateHelper(HttpContext context)  Request information:     Request URL: https://USEAZRSPDFTP01.gep.com:443/DB4Web/USEAZInfoSecReport:23/foo     Request path: /DB4Web/USEAZInfoSecReport:23/foo     User host address: 172.20.13.208     User:      Is authenticated: False     Authentication Type:      Thread account name: IIS APPPOOL\DefaultAppPool  Thread information:     Thread ID: 28     Thread account name: IIS APPPOOL\DefaultAppPool     Is impersonating: False     Stack trace:    at System.Web.HttpRequest.ValidateInputIfRequiredByConfig()   at System.Web.HttpApplication.PipelineStepManager.ValidateHelper(HttpContext context)  Custom event details: 
1531,The User Profile Service has started successfully.  
1532,The User Profile Service has stopped.  
1796,"The Secure Boot update failed to update a Secure Boot variable with error Secure Boot is not enabled on this machine.. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931"
2003,The configuration information of the performance library "C:\Windows\system32\InterceptCounters.dll" for the "InterceptCountersManager" service does not match the trusted performance library information stored in the registry. The functions in this library will not be treated as trusted.
2017,Unable to collect NUMA physical memory utilization data. The first four bytes (DWORD) of the Data section contains the status code.
4111,"Successful auto update of third-party root list with effective date: ?Tuesday, ?January ?28, ?2025 12:46:32 AM."
4202,"MSDTC started with the following settings: Security Configuration (OFF = 0 and ON = 1): Allow Remote Administrator = 0, Network Clients = 0, Transaction Manager Communication:  Allow Inbound Transactions = 0, Allow Outbound Transactions = 0, Transaction Internet Protocol (TIP) = 0,  Enable XA Transactions = 0,  Enable SNA LU 6.2 Transactions = 1,  MSDTC Communications Security = Mutual Authentication Required, Account = NT AUTHORITY\NetworkService,  Firewall Exclusion Detected = 0 Transaction Bridge Installed = 0 Filtering Duplicate Events = 1"
4608,"Windows is starting up.

This event is logged when LSASS.EXE starts and the auditing subsystem is initialized."
4610,"An authentication package has been loaded by the Local Security Authority.
This authentication package will be used to authenticate logon attempts.

Authentication Package Name:	C:\Windows\system32\msv1_0.DLL : MICROSOFT_AUTHENTICATION_PACKAGE_V1_0"
4611,A trusted logon process has been registered with the Local Security Authority.This logon process will be trusted to submit logon requests.Subject: Security ID:  S-1-5-18 Account Name:  USSPDDEVDB04$ Account Domain:  GEP Logon ID:  0x3E7Logon Process Name:  UserManager
4614,"A notification package has been loaded by the Security Account Manager.
This package will be notified of any account or password changes.

Notification Package Name:	KDCPW"
4616,"The system time was changed.Subject: Security ID:  S-1-5-19 Account Name:  LOCAL SERVICE Account Domain:  NT AUTHORITY Logon ID:  0x3E5Process Information: Process ID: 0x424 Name:  C:\Windows\System32\svchost.exePrevious Time:  ?2025?-?03?-?14T17:20:51.997746000ZNew Time:  ?2025?-?03?-?14T17:20:52.004372200ZThis event is generated when the system time is changed. It is normal for the Windows Time Service, which runs with System privilege, to change the system time on a regular basis. Other system time changes may be indicative of attempts to tamper with the computer."
4622,"A security package has been loaded by the Local Security Authority.

Security Package Name:	C:\Windows\system32\cloudAP.DLL : CloudAP"
4624,"An account was successfully logged on.Subject: Security ID:  S-1-5-20 Account Name:  EUNAZRSPDFTP1-N$ Account Domain:  WORKGROUP Logon ID:  0x3E4Logon Information: Logon Type:  8 Restricted Admin Mode: - Virtual Account:  No Elevated Token:  NoImpersonation Level:  ImpersonationNew Logon: Security ID:  S-1-5-21-4168947982-2554143436-4086189163-1001 Account Name:  IPS_smartftp Account Domain:  EUNAZRSPDFTP1-N Logon ID:  0x40B0CB97 Linked Logon ID:  0x0 Network Account Name: - Network Account Domain: - Logon GUID:  {00000000-0000-0000-0000-000000000000}Process Information: Process ID:  0xec4 Process Name:  C:\Windows\SysWOW64\inetsrv\w3wp.exeNetwork Information: Workstation Name: EUNAZRSPDFTP1-N Source Network Address: - Source Port:  -Detailed Authentication Information: Logon Process:  Advapi   Authentication Package: Negotiate Transited Services: - Package Name (NTLM only): - Key Length:  0This event is generated when a logon session is created. It is generated on the computer that was accessed.The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.The network fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.The impersonation level field indicates the extent to which a process in the logon session can impersonate.The authentication information fields provide detailed information about this specific logon request. - Logon GUID is a unique identifier that can be used to correlate this event with a KDC event. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
4625,"An account failed to log on.Subject: Security ID:  S-1-5-18 Account Name:  SEAAZRSDC03$ Account Domain:  GEP Logon ID:  0x3E7Logon Type:   3Account For Which Logon Failed: Security ID:  S-1-0-0 Account Name:  SvcLeoMdbAuthConnect Account Domain:  GEPFailure Information: Failure Reason:  The specified account's password has expired. Status:   0xC000006E Sub Status:  0xC0000071Process Information: Caller Process ID: 0x334 Caller Process Name: C:\Windows\System32\lsass.exeNetwork Information: Workstation Name: SEAAZRSDC03 Source Network Address: 192.168.34.7 Source Port:  58218Detailed Authentication Information: Logon Process:  Advapi   Authentication Package: MICROSOFT_AUTHENTICATION_PACKAGE_V1_0 Transited Services: - Package Name (NTLM only): - Key Length:  0This event is generated when a logon request fails. It is generated on the computer where access was attempted.The Subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.The Logon Type field indicates the kind of logon that was requested. The most common types are 2 (interactive) and 3 (network).The Process Information fields indicate which account and process on the system requested the logon.The Network Information fields indicate where a remote logon request originated. Workstation name is not always available and may be left blank in some cases.The authentication information fields provide detailed information about this specific logon request. - Transited services indicate which intermediate services have participated in this logon request. - Package name indicates which sub-protocol was used among the NTLM protocols. - Key length indicates the length of the generated session key. This will be 0 if no session key was requested."
4627,"Group membership information.Subject: Security ID:  S-1-0-0 Account Name:  - Account Domain:  - Logon ID:  0x0Logon Type:   3New Logon: Security ID:  S-1-5-21-932416472-1581942402-1327342795-27958643 Account Name:  MUM02L11318$ Account Domain:  GEP.COM Logon ID:  0x16A958CC3Event in sequence:  1 of 1Group Membership:     %{S-1-5-21-932416472-1581942402-1327342795-515}  %{S-1-1-0}  %{S-1-5-32-554}  %{S-1-5-32-545}  %{S-1-5-2}  %{S-1-5-11}  %{S-1-5-15}  %{S-1-5-21-932416472-1581942402-1327342795-27729472}  %{S-1-18-1}  %{S-1-16-8448}The subject fields indicate the account on the local system which requested the logon. This is most commonly a service such as the Server service, or a local process such as Winlogon.exe or Services.exe.The logon type field indicates the kind of logon that occurred. The most common types are 2 (interactive) and 3 (network).The New Logon fields indicate the account for whom the new logon was created, i.e. the account that was logged on.This event is generated when the Audit Group Membership subcategory is configured.  The Logon ID field can be used to correlate this event with the corresponding user logon event as well as to any other security audit events generated during this logon session."
4634,An account was logged off.Subject: Security ID:  S-1-5-21-580355598-3368204733-2967366707-1001 Account Name:  IPS_smartftp Account Domain:  USEAZSPDFTP04 Logon ID:  0x5CEFA843Logon Type:   2This event is generated when a logon session is destroyed. It may be positively correlated with a logon event using the Logon ID value. Logon IDs are only unique between reboots on the same computer.
4647,User initiated logoff:Subject: Security ID:  S-1-5-21-932416472-1581942402-1327342795-27941113 Account Name:  Sachint0 Account Domain:  GEP Logon ID:  0x2A8D863CThis event is generated when a logoff is initiated. No further user-initiated activity can occur. This event can be interpreted as a logoff event.
4648,"A logon was attempted using explicit credentials.Subject: Security ID:  S-1-5-82-2502795-2290409902-159026534-96860550-3370483566 Account Name:  WS_FTP_SERVER Account Domain:  IIS APPPOOL Logon ID:  0x449A43A Logon GUID:  {00000000-0000-0000-0000-000000000000}Account Whose Credentials Were Used: Account Name:  IPS_smartftp Account Domain:  USEAZSPDFTP04 Logon GUID:  {00000000-0000-0000-0000-000000000000}Target Server: Target Server Name: localhost Additional Information: localhostProcess Information: Process ID:  0x228c Process Name:  C:\Windows\SysWOW64\inetsrv\w3wp.exeNetwork Information: Network Address: 104.211.91.170 Port:   50864This event is generated when a process attempts to log on an account by explicitly specifying that account’s credentials.  This most commonly occurs in batch-type configurations such as scheduled tasks, or when using the RUNAS command."
4656,A handle to an object was requested.Subject: Security ID:  S-1-5-18 Account Name:  SEAAZRSDC04$ Account Domain:  GEP Logon ID:  0x3E7Object: Object Server:  Security Object Type:  Key Object Name:  \REGISTRY\MACHINE\SOFTWARE\Policies\Microsoft\Windows Advanced Threat Protection Handle ID:  0x490 Resource Attributes: -Process Information: Process ID:  0x6b0 Process Name:  C:\Windows\System32\svchost.exeAccess Request Information: Transaction ID:  {00000000-0000-0000-0000-000000000000} Accesses:  DELETE    READ_CONTROL    WRITE_DAC    WRITE_OWNER    Query key value    Set key value    Create sub-key    Enumerate sub-keys    Notify about changes to keys    Create Link     Access Reasons:  - Access Mask:  0xF003F Privileges Used for Access Check: - Restricted SID Count: 0
4657,A registry value was modified.Subject: Security ID:  S-1-5-18 Account Name:  MUMWDCP03$ Account Domain:  GEP Logon ID:  0x3E7Object: Object Name:  \REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\WMI\Autologger\EventLog-System\{11cd958a-c507-4ef3-b3f2-5fd9dfbd2c78} Object Value Name: MatchAnyKeyword Handle ID:  0x1e8 Operation Type:  Existing registry value modifiedProcess Information: Process ID:  0x14d0 Process Name:  C:\Windows\System32\wevtutil.exeChange Information: Old Value Type:  REG_QWORD Old Value:  0x8000000000000000 New Value Type:  REG_QWORD New Value:  0xC000000000000000
4658,The handle to an object was closed.Subject : Security ID:  S-1-5-18 Account Name:  SEAAZRSDC04$ Account Domain:  GEP Logon ID:  0x3E7Object: Object Server:  Security Handle ID:  0x490Process Information: Process ID:  0x6b0 Process Name:  C:\Windows\System32\svchost.exe
4659,A handle to an object was requested with intent to delete.Subject: Security ID:  S-1-5-18 Account Name:  USEAZSPDFTP04$ Account Domain:  WORKGROUP Logon ID:  0x3E7Object: Object Server: Security Object Type: File Object Name: C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\dismApiWrapperPath\JEF459A.tmp Handle ID: 0x0Process Information: Process ID: 0xdd0Access Request Information: Transaction ID: {00000000-0000-0000-0000-000000000000} Accesses: DELETE    READ_CONTROL    SYNCHRONIZE    ReadData (or ListDirectory)    WriteData (or AddFile)    AppendData (or AddSubdirectory or CreatePipeInstance)    ReadEA    WriteEA    ReadAttributes    WriteAttributes     Access Mask: 0x13019F Privileges Used for Access Check: -
4660,An object was deleted.Subject: Security ID:  S-1-5-18 Account Name:  USEAZSMARTFTP01$ Account Domain:  WORKGROUP Logon ID:  0x3E7Object: Object Server: Security Handle ID: 0x5c0Process Information: Process ID: 0x25d0 Process Name: C:\Program Files\Windows Defender Advanced Threat Protection\SenseIR.exe Transaction ID: {00000000-0000-0000-0000-000000000000}
4661,A handle to an object was requested.Subject : Security ID:  S-1-5-21-932416472-1581942402-1327342795-27926779 Account Name:  Saloni.Ushire Account Domain:  GEP Logon ID:  0x169204D1EObject: Object Server: Security Account Manager Object Type: SAM_GROUP Object Name: S-1-5-21-932416472-1581942402-1327342795-512 Handle ID: 0x2c942d93820Process Information: Process ID: 0x33c Process Name: C:\Windows\System32\lsass.exeAccess Request Information: Transaction ID: {00000000-0000-0000-0000-000000000000} Accesses: READ_CONTROL    AddMember    ListMembers    Undefined Access (no effect) Bit 7     Access Reasons:  - Access Mask: 0x20094 Privileges Used for Access Check: - Properties: --- {bf967a9c-0de6-11d0-a285-00aa003049e2}READ_CONTROLAddMemberListMembersUndefined Access (no effect) Bit 7   {bf9679e8-0de6-11d0-a285-00aa003049e2}   {3e0abfd0-126a-11d0-a060-00aa006c33ed}  {bc0ac240-79a9-11d0-9020-00c04fc2d4cf}   {bf9679c0-0de6-11d0-a285-00aa003049e2}  {59ba2f42-79a2-11d0-9020-00c04fc2d3cf} Restricted SID Count: 0
4662,An operation was performed on an object.Subject : Security ID:  S-1-5-18 Account Name:  USEAZUATFTP$ Account Domain:  WORKGROUP Logon ID:  0x3E7Object: Object Server:  WMI Object Type:  WMI Namespace Object Name:  root\CIMV2\Security\MicrosoftVolumeEncryption Handle ID:  0x0Operation: Operation Type:  Object Access Accesses:  Unknown specific access (bit 0)     Access Mask:  0x1 Properties:  -Additional Information: Parameter 1:  Local Read (ExecQuery) Parameter 2:  root\CIMV2\Security\MicrosoftVolumeEncryption:references of {__Win32Provider.Name="Win32_EncryptableVolumeProvider"}
4663,An attempt was made to access an object.Subject: Security ID:  S-1-5-18 Account Name:  USEAZSMARTFTP01$ Account Domain:  WORKGROUP Logon ID:  0x3E7Object: Object Server:  Security Object Type:  File Object Name:  C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\Temp\PSScriptOutputs\PSScript_Output_{A7104D6C-AE4B-46C6-BB54-AB4FA163B97A}.txt Handle ID:  0x550 Resource Attributes: S:AIProcess Information: Process ID:  0x25d0 Process Name:  C:\Program Files\Windows Defender Advanced Threat Protection\SenseIR.exeAccess Request Information: Accesses:  DELETE     Access Mask:  0x10000
4664,An attempt was made to create a hard link.Subject: Account Name:  S-1-5-18 Account Name:  USEAZUATFTP$ Account Domain:  WORKGROUP Logon ID:  0x3E7Link Information: File Name: C:\Windows\WinSxS\x86_mscorlib_b77a5c561934e089_4.0.15744.1170_none_7a02250fa8e24941\normnfd.nlp Link Name: C:\Windows\WinSxS\x86_mscorlib_b77a5c561934e089_4.0.15744.551_none_5f364f58670632b5\normnfd.nlp Transaction ID: {f471462f-0418-11f0-9bae-000d3a569fe0}
4670,Permissions on an object were changed.Subject: Security ID:  S-1-5-18 Account Name:  USEAZSMARTFTP01$ Account Domain:  WORKGROUP Logon ID:  0x3E7Object: Object Server: Security Object Type: Token Object Name: - Handle ID: 0x590Process: Process ID: 0xc60 Process Name: C:\Windows\System32\svchost.exePermissions Change: Original Security Descriptor: D:(A;;GA;;;SY)(A;;GA;;;LS) New Security Descriptor: D:(A;;GA;;;SY)(A;;RC;;;OW)(A;;GA;;;S-1-5-86-1544737700-199408000-2549878335-3519669259-381336952)
4672,"Special privileges assigned to new logon.

Subject:
	Security ID:		S-1-5-17
	Account Name:		IUSR
	Account Domain:		NT AUTHORITY
	Logon ID:		0x3E3

Privileges:		SeImpersonatePrivilege"
4673,A privileged service was called.Subject: Security ID:  S-1-5-18 Account Name:  USEAZSMARTFTP01$ Account Domain:  WORKGROUP Logon ID:  0x3E7Service: Server: NT Local Security Authority / Authentication Service Service Name: LsaRegisterLogonProcess()Process: Process ID: 0x360 Process Name: C:\Windows\System32\lsass.exeService Request Information: Privileges:  SeTcbPrivilege
4674,An operation was attempted on a privileged object.Subject: Security ID:  S-1-5-21-932416472-1581942402-1327342795-27951727 Account Name:  Laxman.Vemunurit1 Account Domain:  GEP Logon ID:  0x5E83E702Object: Object Server: Security Object Type: - Object Name: - Object Handle: 0x408Process Information: Process ID: 0x7d4c Process Name: C:\Windows\System32\wsmprovhost.exeRequested Operation: Desired Access: 2031617 Privileges:  SeTakeOwnershipPrivilege
